album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
A Star Is Born Soundtrack,Lady Gaga,2018-10-05,97,0.572,0.572,0.385,0.0,0.231,-6.362,0.0308,95.799,USA
Envy Me,Calboy,2018-12-13,87,0.556,0.556,0.481,0.0,0.216,-7.663,0.313,149.025,USA
beerbongs & bentleys,Post Malone,2018-04-27,93,0.68,0.68,0.563,0.0,0.136,-5.843,0.0454,145.028,USA
Bad Habits,NAV,2019-03-22,71,0.773,0.773,0.579,4.22e-06,0.31,-6.128,0.129,75.014,USA
Shelby,Lil Skies,2019-03-01,87,0.649,0.649,0.453,0.0,0.116,-7.28,0.085,99.183,USA
Evil Genius,Gucci Mane,2018-12-07,80,0.8,0.8,0.578,0.0,0.367,-5.144,0.0485,143.01,USA
Suncity,Khalid,2018-10-18,88,0.596,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,USA
?,XXXTENTACION,2018-03-16,92,0.74,0.74,0.613,0.00372,0.123,-4.88,0.145,75.023,USA
Money,Cardi B,2018-10-23,90,0.95,0.95,0.59,0.0,0.11,-6.508,0.29,130.003,USA
Con Calma,Daddy Yankee,2019-01-24,99,0.737,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,USA
i'm so tired...,Lauv,2019-01-24,95,0.599,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,USA
FRIENDS KEEP SECRETS,benny blanco,2018-12-07,84,0.632,0.632,0.686,0.0,0.2,-7.665,0.243,89.949,USA
The World Is Yours 2,Rich The Kid,2019-03-22,67,0.864,0.864,0.652,0.0,0.224,-6.815,0.462,75.988,USA
?,XXXTENTACION,2018-03-16,91,0.921,0.921,0.537,0.00404,0.102,-5.723,0.0804,128.009,USA
Leave Me Alone,Flipp Dinero,2018-09-04,90,0.792,0.792,0.743,0.0,0.183,-2.806,0.0851,150.024,USA
